TIMESTAMP,Counter,DepthCm,Latitude,Longitude
13/04/2016 7:27,102144,29.1,79.982052,-86.285347
13/04/2016 7:27,102145,25.17,79.982065,-86.285313
13/04/2016 7:27,102146,22.13,79.982072,-86.285312
13/04/2016 7:27,102147,20.9,79.982078,-86.285257
13/04/2016 7:27,102148,25.51,79.982095,-86.285203
13/04/2016 7:27,102149,30,79.982110,-86.285185
13/04/2016 7:27,102150,45.74,79.982115,-86.285182
13/04/2016 7:27,102151,61.76,79.982132,-86.285148
13/04/2016 7:27,102152,42.48,79.982142,-86.285125
13/04/2016 7:27,102153,28.09,79.982147,-86.285133
13/04/2016 7:27,102154,32.31,79.982157,-86.285132
13/04/2016 7:27,102155,25.51,79.982167,-86.285085
13/04/2016 7:27,102156,14.77,79.982165,-86.285087
13/04/2016 7:27,102157,35.85,79.982185,-86.285058
13/04/2016 7:27,102158,50.8,79.982200,-86.285018
13/04/2016 7:27,102159,44.84,79.982205,-86.284985
13/04/2016 7:27,102160,11.51,79.982212,-86.284955
13/04/2016 7:27,102161,14.49,79.982228,-86.284927
13/04/2016 7:27,102162,24.04,79.982237,-86.284890
13/04/2016 7:27,102163,19.55,79.982247,-86.284893
13/04/2016 7:27,102164,18.03,79.982253,-86.284887
13/04/2016 7:27,102165,10.72,79.982263,-86.284858
13/04/2016 7:27,102166,5.328,79.982275,-86.284835
13/04/2016 7:27,102167,6.621,79.982290,-86.284835
13/04/2016 7:27,102168,17.02,79.982310,-86.284825
13/04/2016 7:27,102169,7.632,79.982315,-86.284838
13/04/2016 7:27,102170,68.17,79.982343,-86.284907
13/04/2016 7:27,102171,77.16,79.982362,-86.284865
13/04/2016 7:27,102172,66.26,79.982382,-86.284847
13/04/2016 7:27,102173,82.2,79.982390,-86.284815
13/04/2016 7:27,102174,81.9,79.982392,-86.284775
13/04/2016 7:27,102175,49.17,79.982395,-86.284768
13/04/2016 7:27,102176,48.55,79.982403,-86.284732
13/04/2016 7:27,102177,5.609,79.982410,-86.284728
13/04/2016 7:27,102178,23.93,79.982433,-86.284683
13/04/2016 7:27,102179,36.8,79.982442,-86.284678
13/04/2016 7:27,102180,4.148,79.982448,-86.284690
13/04/2016 7:27,102181,13.25,79.982450,-86.284730
13/04/2016 7:27,102182,30.79,79.982453,-86.284818
13/04/2016 7:27,102183,21.57,79.982457,-86.284843
13/04/2016 7:27,102184,60.19,79.982465,-86.284928
13/04/2016 7:28,102185,48.5,79.982458,-86.284985
13/04/2016 7:28,102186,22.3,79.982470,-86.285065
13/04/2016 7:28,102187,9.32,79.982473,-86.285133
13/04/2016 7:28,102188,16.68,79.982483,-86.285173
13/04/2016 7:28,102189,26.12,79.982490,-86.285223
13/04/2016 7:28,102190,9.82,79.982500,-86.285278
13/04/2016 7:28,102191,14.27,79.982503,-86.285313
13/04/2016 7:28,102192,4.485,79.982510,-86.285413
